frame,t,dx,dy,rot_deg,scale,ntrack,framediff,sharpness,brightness,contrast
138,4.611,-5.681,0.893,-0.1193,0.9996,166,5.782,91.27,143.3,42.96
139,4.645,-5.927,0.892,-0.1357,1.0,209,5.766,89.86,143.14,42.86
140,4.678,-6.453,1.721,-0.2351,0.999,165,5.93,93.21,142.61,42.9
141,4.712,-6.202,2.051,-0.2454,0.9982,162,5.996,92.76,142.01,43.0
142,4.745,-6.344,1.976,-0.2397,0.9984,153,6.34,90.32,141.06,43.28
143,4.778,-6.406,1.806,-0.2379,0.9989,151,6.698,89.29,139.43,43.65
144,4.812,-5.753,1.684,-0.1922,0.9981,169,6.168,89.66,138.61,43.97
145,4.845,-5.908,2.074,-0.2383,0.9979,181,6.284,93.98,137.55,44.25
146,4.879,-6.091,2.273,-0.2627,0.998,187,6.36,96.26,136.48,44.35
147,4.912,-6.003,2.636,-0.285,0.9972,197,6.813,100.78,134.97,44.71
148,4.946,-5.933,2.23,-0.2539,0.9978,178,6.827,107.45,133.59,44.9
149,4.979,-5.489,2.224,-0.2219,0.9969,181,6.801,116.87,132.43,45.05
150,5.012,-5.943,2.415,-0.2748,0.9976,185,6.92,135.31,131.36,45.28
151,5.046,-5.884,2.276,-0.2735,0.9977,206,6.887,136.29,130.59,45.47
152,5.079,-5.84,2.832,-0.3176,0.997,192,6.943,132.85,129.78,45.46
153,5.113,-5.438,1.741,-0.2047,0.9981,199,7.22,139.91,129.18,45.54
154,5.146,-5.415,2.138,-0.2364,0.9971,143,7.203,138.28,128.66,45.55
155,5.179,-5.453,2.163,-0.2353,0.9971,138,7.429,133.94,127.85,45.63
156,5.213,-5.569,2.135,-0.254,0.9974,146,7.352,129.59,126.99,45.64
157,5.246,-5.385,1.94,-0.2153,0.9971,140,7.408,137.17,126.14,45.56
158,5.28,-5.384,2.239,-0.2479,0.9969,156,7.382,138.05,125.34,45.56
159,5.313,-5.367,1.747,-0.2048,0.9975,150,7.297,140.82,124.77,45.48
160,5.347,-5.453,1.951,-0.2322,0.9975,150,7.13,131.48,124.13,45.38
161,5.38,-5.664,1.829,-0.2384,0.998,154,7.244,123.54,123.46,45.17
162,5.413,-5.651,1.728,-0.2299,0.9981,159,7.403,121.27,122.31,45.09
163,5.447,-5.519,1.882,-0.2439,0.9976,156,7.296,115.02,121.42,44.91
164,5.48,-5.58,1.627,-0.2285,0.9981,161,6.995,115.62,120.77,44.66
165,5.514,-5.625,1.578,-0.2323,0.9982,164,7.027,118.06,120.2,44.52
166,5.547,-5.547,1.296,-0.1966,0.9985,167,7.154,118.93,119.71,44.37
167,5.58,-5.832,1.282,-0.2254,0.9989,167,7.131,114.04,119.46,44.23
168,5.614,-5.695,1.319,-0.2116,0.9988,174,6.804,110.65,119.3,44.04
169,5.647,-5.656,0.998,-0.1872,0.9993,173,7.021,107.87,119.15,43.92
170,5.681,-5.705,1.207,-0.2079,0.999,171,6.911,111.81,118.8,43.66
171,5.714,-5.617,1.023,-0.1957,0.9992,171,6.793,112.12,118.52,43.48
172,5.747,-5.545,1.108,-0.2008,0.9992,168,6.613,108.65,118.44,43.35
173,5.781,-5.377,1.137,-0.1922,0.9989,153,6.605,108.6,118.18,43.17
174,5.814,-5.584,1.07,-0.1997,0.9993,156,6.614,114.73,117.94,42.97
175,5.848,-5.363,0.696,-0.1571,0.9996,146,6.604,120.38,117.65,42.84
176,5.881,-5.332,0.878,-0.1894,0.9995,151,6.447,119.3,117.47,42.77
177,5.915,-5.278,0.809,-0.1701,0.9997,168,6.415,122.35,117.26,42.67
178,5.948,-5.302,0.787,-0.1714,0.9998,163,6.43,129.14,117.15,42.59
179,5.981,-5.301,0.699,-0.167,0.9999,163,6.445,133.42,116.95,42.42
180,6.015,-5.338,0.566,-0.1619,1.0002,168,6.482,137.11,116.99,42.34
181,6.048,-5.291,0.626,-0.1688,1.0002,157,7.168,153.12,116.64,42.32
182,6.082,-5.317,0.461,-0.1505,1.0003,153,6.38,147.79,116.6,42.3
183,6.115,-5.304,0.321,-0.1389,1.0008,153,6.384,152.23,116.57,42.26
184,6.148,-5.308,0.454,-0.154,1.0006,156,6.294,155.74,116.59,42.18
185,6.182,-5.289,0.773,-0.2075,1.0006,155,5.948,142.5,116.44,42.18
186,6.215,-5.333,0.332,-0.1548,1.0011,168,6.11,144.53,116.6,42.12
187,6.249,-5.364,0.183,-0.147,1.0012,160,6.187,147.27,116.54,42.02
188,6.282,-5.321,0.083,-0.1356,1.0013,165,6.121,147.27,116.63,41.96
189,6.316,-5.36,-0.053,-0.136,1.0017,164,5.962,144.49,116.75,41.94
190,6.349,-5.462,-0.034,-0.1425,1.0018,157,5.947,145.25,116.86,41.93
191,6.382,-5.425,-0.079,-0.1411,1.0018,144,5.929,171.39,116.78,41.92
192,6.416,-5.528,-0.09,-0.1554,1.002,132,5.93,201.5,116.83,41.91
193,6.449,-5.34,-0.13,-0.1327,1.0018,147,5.726,198.88,116.99,41.85
194,6.483,-5.367,-0.029,-0.1508,1.0017,152,5.594,155.16,117.34,41.82
195,6.516,-5.421,-0.085,-0.1439,1.0019,145,5.577,179.02,117.39,41.63
196,6.549,-5.714,-0.25,-0.1667,1.0024,149,5.694,178.67,117.45,41.51
197,6.583,-5.664,-0.306,-0.154,1.0026,155,5.606,169.52,117.57,41.44
198,6.616,-5.834,-0.268,-0.1662,1.0027,147,5.67,159.94,117.65,41.41
199,6.65,-6.018,-0.22,-0.1926,1.0028,150,5.64,148.79,117.88,41.33
200,6.683,-6.031,-0.131,-0.1924,1.0027,141,5.737,149.45,118.07,41.26
